Array's before assembler replace:
A[0]: 0; B[346]: 0
A[823]: 0; B[5650]: 823
A[824]: 0; B[28445]: 824
A[825]: 0; B[11671]: 825
A[826]: 0; B[22972]: 826
A[827]: 0; B[16066]: 827
A[828]: 0; B[31411]: 828
A[829]: 0; B[29096]: 829
A[830]: 0; B[29290]: 830
A[831]: 0; B[26440]: 831
A[832]: 0; B[16798]: 832
A[833]: 0; B[30971]: 833
A[834]: 0; B[29594]: 834
A[835]: 0; B[10888]: 835
A[836]: 0; B[17252]: 836
A[837]: 0; B[10403]: 837
A[838]: 0; B[24325]: 838
A[839]: 0; B[26550]: 839
A[840]: 0; B[31550]: 840
A[841]: 0; B[8014]: 841
A[842]: 0; B[16190]: 842
A[843]: 0; B[1151]: 843
A[844]: 0; B[31542]: 844
A[845]: 0; B[23060]: 845
A[846]: 0; B[28137]: 846
A[847]: 0; B[16246]: 847
A[848]: 0; B[25727]: 848
A[849]: 0; B[10111]: 849
A[850]: 0; B[3393]: 850
A[851]: 0; B[7872]: 851
A[852]: 0; B[14613]: 852
A[853]: 0; B[5340]: 853
A[854]: 0; B[20682]: 854
A[855]: 0; B[18180]: 855
A[856]: 0; B[17045]: 856
A[857]: 0; B[16833]: 857
A[858]: 0; B[29010]: 858
A[859]: 0; B[18061]: 859
A[860]: 0; B[2655]: 860
A[861]: 0; B[17888]: 861
A[862]: 0; B[26670]: 862
A[863]: 0; B[8386]: 863
A[864]: 0; B[7914]: 864
A[865]: 0; B[5386]: 865
A[866]: 0; B[19891]: 866
A[867]: 0; B[9672]: 867
A[868]: 0; B[8807]: 868
A[869]: 0; B[3463]: 869
A[870]: 0; B[30451]: 870
A[871]: 0; B[25205]: 871
A[872]: 0; B[24217]: 872
A[873]: 0; B[7317]: 873
A[874]: 0; B[11961]: 874
A[875]: 0; B[13432]: 875
A[876]: 0; B[23028]: 876
A[877]: 0; B[9534]: 877
A[878]: 0; B[9671]: 878
A[879]: 0; B[20167]: 879
A[880]: 0; B[10576]: 880
A[881]: 0; B[5490]: 881
A[882]: 0; B[30319]: 882
A[883]: 0; B[14951]: 883
A[884]: 0; B[32370]: 884
A[885]: 0; B[21601]: 885
A[886]: 0; B[22125]: 886
A[887]: 0; B[7789]: 887
A[888]: 0; B[9248]: 888
A[889]: 0; B[31593]: 889
A[890]: 0; B[22387]: 890
A[891]: 0; B[24608]: 891
A[892]: 0; B[29286]: 892
A[893]: 0; B[30825]: 893
A[894]: 0; B[18542]: 894
A[895]: 0; B[23401]: 895
A[896]: 0; B[29043]: 896
A[897]: 0; B[6248]: 897
A[898]: 0; B[8549]: 898
A[899]: 0; B[20836]: 899
A[900]: 0; B[7200]: 900
A[901]: 0; B[5491]: 901
A[902]: 0; B[2677]: 902
A[903]: 0; B[18019]: 903
A[904]: 0; B[4709]: 904
A[905]: 0; B[8051]: 905
A[906]: 0; B[23653]: 906
A[907]: 0; B[28019]: 907
A[908]: 0; B[9664]: 908
A[909]: 0; B[190]: 909
A[910]: 0; B[16240]: 910
A[911]: 0; B[22187]: 911
A[912]: 0; B[1671]: 912
A[913]: 0; B[23216]: 913
A[914]: 0; B[13247]: 914
A[915]: 0; B[2472]: 915
A[916]: 0; B[2665]: 916
A[917]: 0; B[4779]: 917
A[918]: 0; B[12766]: 918
A[919]: 0; B[15407]: 919
A[920]: 0; B[17944]: 920
A[921]: 0; B[27500]: 921
A[922]: 0; B[12561]: 922
A[923]: 0; B[17044]: 923
A[924]: 0; B[31173]: 924
A[925]: 0; B[28295]: 925
A[926]: 0; B[14047]: 926
A[927]: 0; B[32511]: 927
A[928]: 0; B[2685]: 928
A[929]: 0; B[5235]: 929
A[930]: 0; B[18834]: 930
A[931]: 0; B[23834]: 931
A[932]: 0; B[1221]: 932
A[933]: 0; B[22233]: 933
A[934]: 0; B[25071]: 934
A[935]: 0; B[9727]: 935
A[936]: 0; B[25717]: 936
A[937]: 0; B[6429]: 937
A[938]: 0; B[14391]: 938
A[939]: 0; B[14432]: 939
A[940]: 0; B[7634]: 940
A[941]: 0; B[4910]: 941
A[942]: 0; B[2142]: 942
A[943]: 0; B[28920]: 943
A[944]: 0; B[9199]: 944
A[945]: 0; B[10891]: 945
A[946]: 0; B[10634]: 946
A[947]: 0; B[20275]: 947
A[948]: 0; B[26694]: 948
A[949]: 0; B[26006]: 949
A[950]: 0; B[5327]: 950
A[951]: 0; B[8729]: 951
A[952]: 0; B[3986]: 952
A[953]: 0; B[25885]: 953
A[954]: 0; B[14121]: 954
A[955]: 0; B[18816]: 955
A[956]: 0; B[22511]: 956
A[957]: 0; B[4134]: 957
A[958]: 0; B[10939]: 958
A[959]: 0; B[22387]: 959
A[960]: 0; B[27732]: 960
A[961]: 0; B[23912]: 961
A[962]: 0; B[13157]: 962
A[963]: 0; B[7538]: 963
A[964]: 0; B[8293]: 964
A[965]: 0; B[27168]: 965
A[966]: 0; B[6497]: 966
A[967]: 0; B[29810]: 967
A[968]: 0; B[21605]: 968
A[969]: 0; B[16416]: 969
A[970]: 0; B[17464]: 970
A[971]: 0; B[16947]: 971
A[972]: 0; B[30008]: 972
A[973]: 0; B[1848]: 973
A[974]: 0; B[8758]: 974
A[975]: 0; B[6960]: 975
A[976]: 0; B[24376]: 976
A[977]: 0; B[31776]: 977
A[978]: 0; B[20329]: 978
A[979]: 0; B[29038]: 979
A[980]: 0; B[6260]: 980
A[981]: 0; B[26995]: 981
A[982]: 0; B[1312]: 982
A[983]: 0; B[14178]: 983
A[984]: 0; B[7013]: 984
A[985]: 0; B[116]: 985
A[986]: 0; B[13943]: 986
A[987]: 0; B[29797]: 987
A[988]: 0; B[14949]: 988
A[989]: 0; B[19054]: 989
A[990]: 0; B[28448]: 990
A[991]: 0; B[5168]: 991
A[992]: 0; B[20088]: 992
A[993]: 0; B[3650]: 993
A[994]: 0; B[24633]: 994
A[995]: 0; B[2864]: 995
A[996]: 0; B[10800]: 996
A[997]: 0; B[28208]: 997
A[998]: 0; B[8736]: 998
A[999]: 0; B[2913]: 999
Array's after assembler replace:
B[0]: 0
B[1]: 0
B[2]: 0
B[3]: 0
B[4]: 0
B[5]: 0
B[6]: 0
B[7]: 0
B[8]: 0
B[9]: 0
B[10]: 0
B[11]: 0
B[12]: 0
B[13]: 0
B[14]: 0
B[15]: 0
B[16]: 0
B[17]: 0
B[18]: 0
B[19]: 0
B[20]: 0
B[21]: 0
B[22]: 0
B[23]: 0
B[24]: 0
B[25]: 0
B[26]: 0
B[27]: 0
B[28]: 0
B[29]: 0
B[30]: 0
B[31]: 0
B[32]: 0
B[33]: 0
B[34]: 0
B[35]: 0
B[36]: 0
B[37]: 0
B[38]: 0
B[39]: 0
B[40]: 0
B[41]: 0
B[42]: 0
B[43]: 0
B[44]: 0
B[45]: 0
B[46]: 0
B[47]: 0
B[48]: 0
B[49]: 0
B[50]: 0
B[51]: 0
B[52]: 0
B[53]: 0
B[54]: 0
B[55]: 0
B[56]: 0
B[57]: 0
B[58]: 0
B[59]: 0
B[60]: 0
B[61]: 0
B[62]: 0
B[63]: 0
B[64]: 0
B[65]: 0
B[66]: 0
B[67]: 0
B[68]: 0
B[69]: 0
B[70]: 0
B[71]: 0
B[72]: 0
B[73]: 0
B[74]: 0
B[75]: 0
B[76]: 0
B[77]: 0
B[78]: 0
B[79]: 0
B[80]: 0
B[81]: 0
B[82]: 0
B[83]: 0
B[84]: 0
B[85]: 0
B[86]: 0
B[87]: 0
B[88]: 0
B[89]: 0
B[90]: 0
B[91]: 0
B[92]: 0
B[93]: 0
B[94]: 0
B[95]: 0
B[96]: 0
B[97]: 0
B[98]: 0
B[99]: 0
B[100]: 0
B[101]: 0
B[102]: 0
B[103]: 0
B[104]: 0
B[105]: 0
B[106]: 0
B[107]: 0
B[108]: 0
B[109]: 0
B[110]: 0
B[111]: 0
B[112]: 0
B[113]: 0
B[114]: 0
B[115]: 0
B[116]: 0
B[117]: 0
B[118]: 0
B[119]: 0
B[120]: 0
B[121]: 0
B[122]: 0
B[123]: 0
B[124]: 0
B[125]: 0
B[126]: 0
B[127]: 0
B[128]: 0
B[129]: 0
B[130]: 0
B[131]: 0
B[132]: 0
B[133]: 0
B[134]: 0
B[135]: 0
B[136]: 0
B[137]: 0
B[138]: 0
B[139]: 0
B[140]: 0
B[141]: 0
B[142]: 0
B[143]: 0
B[144]: 0
B[145]: 0
B[146]: 0
B[147]: 0
B[148]: 0
B[149]: 0
B[150]: 0
B[151]: 0
B[152]: 0
B[153]: 0
B[154]: 0
B[155]: 0
B[156]: 0
B[157]: 0
B[158]: 0
B[159]: 0
B[160]: 0
B[161]: 0
B[162]: 0
B[163]: 0
B[164]: 0
B[165]: 0
B[166]: 0
B[167]: 0
B[168]: 0
B[169]: 0
B[170]: 0
B[171]: 0
B[172]: 0
B[173]: 0
B[174]: 0
B[175]: 0
B[176]: 0
B[177]: 0
B[178]: 0
B[179]: 0
B[180]: 0
B[181]: 0
B[182]: 0
B[183]: 0
B[184]: 0
B[185]: 0
B[186]: 0
B[187]: 0
B[188]: 0
B[189]: 0
B[190]: 0
B[191]: 0
B[192]: 0
B[193]: 0
B[194]: 0
B[195]: 0
B[196]: 0
B[197]: 0
B[198]: 0
B[199]: 0
B[200]: 0
B[201]: 0
B[202]: 0
B[203]: 0
B[204]: 0
B[205]: 0
B[206]: 0
B[207]: 0
B[208]: 0
B[209]: 0
B[210]: 0
B[211]: 0
B[212]: 0
B[213]: 0
B[214]: 0
B[215]: 0
B[216]: 0
B[217]: 0
B[218]: 0
B[219]: 0
B[220]: 0
B[221]: 0
B[222]: 0
B[223]: 0
B[224]: 0
B[225]: 0
B[226]: 0
B[227]: 0
B[228]: 0
B[229]: 0
B[230]: 0
B[231]: 0
B[232]: 0
B[233]: 0
B[234]: 0
B[235]: 0
B[236]: 0
B[237]: 0
B[238]: 0
B[239]: 0
B[240]: 0
B[241]: 0
B[242]: 0
B[243]: 0
B[244]: 0
B[245]: 0
B[246]: 0
B[247]: 0
B[248]: 0
B[249]: 0
B[250]: 0
B[251]: 0
B[252]: 0
B[253]: 0
B[254]: 0
B[255]: 0
B[256]: 0
B[257]: 0
B[258]: 0
B[259]: 0
B[260]: 0
B[261]: 0
B[262]: 0
B[263]: 0
B[264]: 0
B[265]: 0
B[266]: 0
B[267]: 0
B[268]: 0
B[269]: 0
B[270]: 0
B[271]: 0
B[272]: 0
B[273]: 0
B[274]: 0
B[275]: 0
B[276]: 0
B[277]: 0
B[278]: 0
B[279]: 0
B[280]: 0
B[281]: 0
B[282]: 0
B[283]: 0
B[284]: 0
B[285]: 0
B[286]: 0
B[287]: 0
B[288]: 0
B[289]: 0
B[290]: 0
B[291]: 0
B[292]: 0
B[293]: 0
B[294]: 0
B[295]: 0
B[296]: 0
B[297]: 0
B[298]: 0
B[299]: 0
B[300]: 0
B[301]: 0
B[302]: 0
B[303]: 0
B[304]: 0
B[305]: 0
B[306]: 0
B[307]: 0
B[308]: 0
B[309]: 0
B[310]: 0
B[311]: 0
B[312]: 0
B[313]: 0
B[314]: 0
B[315]: 0
B[316]: 0
B[317]: 0
B[318]: 0
B[319]: 0
B[320]: 0
B[321]: 0
B[322]: 0
B[323]: 0
B[324]: 0
B[325]: 0
B[326]: 0
B[327]: 0
B[328]: 0
B[329]: 0
B[330]: 0
B[331]: 0
B[332]: 0
B[333]: 0
B[334]: 0
B[335]: 0
B[336]: 0
B[337]: 0
B[338]: 0
B[339]: 0
B[340]: 0
B[341]: 0
B[342]: 0
B[343]: 0
B[344]: 0
B[345]: 0
B[346]: 0
B[347]: 0
B[348]: 0
B[349]: 0
B[350]: 0
B[351]: 0
B[352]: 0
B[353]: 0
B[354]: 0
B[355]: 0
B[356]: 0
B[357]: 0
B[358]: 0
B[359]: 0
B[360]: 0
B[361]: 0
B[362]: 0
B[363]: 0
B[364]: 0
B[365]: 0
B[366]: 0
B[367]: 0
B[368]: 0
B[369]: 0
B[370]: 0
B[371]: 0
B[372]: 0
B[373]: 0
B[374]: 0
B[375]: 0
B[376]: 0
B[377]: 0
B[378]: 0
B[379]: 0
B[380]: 0
B[381]: 0
B[382]: 0
B[383]: 0
B[384]: 0
B[385]: 0
B[386]: 0
B[387]: 0
B[388]: 0
B[389]: 0
B[390]: 0
B[391]: 0
B[392]: 0
B[393]: 0
B[394]: 0
B[395]: 0
B[396]: 0
B[397]: 0
B[398]: 0
B[399]: 0
B[400]: 0
B[401]: 0
B[402]: 0
B[403]: 0
B[404]: 0
B[405]: 0
B[406]: 0
B[407]: 0
B[408]: 0
B[409]: 0
B[410]: 0
B[411]: 0
B[412]: 0
B[413]: 0
B[414]: 0
B[415]: 0
B[416]: 0
B[417]: 0
B[418]: 0
B[419]: 0
B[420]: 0
B[421]: 0
B[422]: 0
B[423]: 0
B[424]: 0
B[425]: 0
B[426]: 0
B[427]: 0
B[428]: 0
B[429]: 0
B[430]: 0
B[431]: 0
B[432]: 0
B[433]: 0
B[434]: 0
B[435]: 0
B[436]: 0
B[437]: 0
B[438]: 0
B[439]: 0
B[440]: 0
B[441]: 0
B[442]: 0
B[443]: 0
B[444]: 0
B[445]: 0
B[446]: 0
B[447]: 0
B[448]: 0
B[449]: 0
B[450]: 0
B[451]: 0
B[452]: 0
B[453]: 0
B[454]: 0
B[455]: 0
B[456]: 0
B[457]: 0
B[458]: 0
B[459]: 0
B[460]: 0
B[461]: 0
B[462]: 0
B[463]: 0
B[464]: 0
B[465]: 0
B[466]: 0
B[467]: 0
B[468]: 0
B[469]: 0
B[470]: 0
B[471]: 0
B[472]: 0
B[473]: 0
B[474]: 0
B[475]: 0
B[476]: 0
B[477]: 0
B[478]: 0
B[479]: 0
B[480]: 0
B[481]: 0
B[482]: 0
B[483]: 0
B[484]: 0
B[485]: 0
B[486]: 0
B[487]: 0
B[488]: 0
B[489]: 0
B[490]: 0
B[491]: 0
B[492]: 0
B[493]: 0
B[494]: 0
B[495]: 0
B[496]: 0
B[497]: 0
B[498]: 0
B[499]: 0
B[500]: 0
B[501]: 0
B[502]: 0
B[503]: 0
B[504]: 0
B[505]: 0
B[506]: 0
B[507]: 0
B[508]: 0
B[509]: 0
B[510]: 0
B[511]: 0
B[512]: 0
B[513]: 0
B[514]: 0
B[515]: 0
B[516]: 0
B[517]: 0
B[518]: 0
B[519]: 0
B[520]: 0
B[521]: 0
B[522]: 0
B[523]: 0
B[524]: 0
B[525]: 0
B[526]: 0
B[527]: 0
B[528]: 0
B[529]: 0
B[530]: 0
B[531]: 0
B[532]: 0
B[533]: 0
B[534]: 0
B[535]: 0
B[536]: 0
B[537]: 0
B[538]: 0
B[539]: 0
B[540]: 0
B[541]: 0
B[542]: 0
B[543]: 0
B[544]: 0
B[545]: 0
B[546]: 0
B[547]: 0
B[548]: 0
B[549]: 0
B[550]: 0
B[551]: 0
B[552]: 0
B[553]: 0
B[554]: 0
B[555]: 0
B[556]: 0
B[557]: 0
B[558]: 0
B[559]: 0
B[560]: 0
B[561]: 0
B[562]: 0
B[563]: 0
B[564]: 0
B[565]: 0
B[566]: 0
B[567]: 0
B[568]: 0
B[569]: 0
B[570]: 0
B[571]: 0
B[572]: 0
B[573]: 0
B[574]: 0
B[575]: 0
B[576]: 0
B[577]: 0
B[578]: 0
B[579]: 0
B[580]: 0
B[581]: 0
B[582]: 0
B[583]: 0
B[584]: 0
B[585]: 0
B[586]: 0
B[587]: 0
B[588]: 0
B[589]: 0
B[590]: 0
B[591]: 0
B[592]: 0
B[593]: 0
B[594]: 0
B[595]: 0
B[596]: 0
B[597]: 0
B[598]: 0
B[599]: 0
B[600]: 0
B[601]: 0
B[602]: 0
B[603]: 0
B[604]: 0
B[605]: 0
B[606]: 0
B[607]: 0
B[608]: 0
B[609]: 0
B[610]: 0
B[611]: 0
B[612]: 0
B[613]: 0
B[614]: 0
B[615]: 0
B[616]: 0
B[617]: 0
B[618]: 0
B[619]: 0
B[620]: 0
B[621]: 0
B[622]: 0
B[623]: 0
B[624]: 0
B[625]: 0
B[626]: 0
B[627]: 0
B[628]: 0
B[629]: 0
B[630]: 0
B[631]: 0
B[632]: 0
B[633]: 0
B[634]: 0
B[635]: 0
B[636]: 0
B[637]: 0
B[638]: 0
B[639]: 0
B[640]: 0
B[641]: 0
B[642]: 0
B[643]: 0
B[644]: 0
B[645]: 0
B[646]: 0
B[647]: 0
B[648]: 0
B[649]: 0
B[650]: 0
B[651]: 0
B[652]: 0
B[653]: 0
B[654]: 0
B[655]: 0
B[656]: 0
B[657]: 0
B[658]: 0
B[659]: 0
B[660]: 0
B[661]: 0
B[662]: 0
B[663]: 0
B[664]: 0
B[665]: 0
B[666]: 0
B[667]: 0
B[668]: 0
B[669]: 0
B[670]: 0
B[671]: 0
B[672]: 0
B[673]: 0
B[674]: 0
B[675]: 0
B[676]: 0
B[677]: 0
B[678]: 0
B[679]: 0
B[680]: 0
B[681]: 0
B[682]: 0
B[683]: 0
B[684]: 0
B[685]: 0
B[686]: 0
B[687]: 0
B[688]: 0
B[689]: 0
B[690]: 0
B[691]: 0
B[692]: 0
B[693]: 0
B[694]: 0
B[695]: 0
B[696]: 0
B[697]: 0
B[698]: 0
B[699]: 0
B[700]: 0
B[701]: 0
B[702]: 0
B[703]: 0
B[704]: 0
B[705]: 0
B[706]: 0
B[707]: 0
B[708]: 0
B[709]: 0
B[710]: 0
B[711]: 0
B[712]: 0
B[713]: 0
B[714]: 0
B[715]: 0
B[716]: 0
B[717]: 0
B[718]: 0
B[719]: 0
B[720]: 0
B[721]: 0
B[722]: 0
B[723]: 0
B[724]: 0
B[725]: 0
B[726]: 0
B[727]: 0
B[728]: 0
B[729]: 0
B[730]: 0
B[731]: 0
B[732]: 0
B[733]: 0
B[734]: 0
B[735]: 0
B[736]: 0
B[737]: 0
B[738]: 0
B[739]: 0
B[740]: 0
B[741]: 0
B[742]: 0
B[743]: 0
B[744]: 0
B[745]: 0
B[746]: 0
B[747]: 0
B[748]: 0
B[749]: 0
B[750]: 0
B[751]: 0
B[752]: 0
B[753]: 0
B[754]: 0
B[755]: 0
B[756]: 0
B[757]: 0
B[758]: 0
B[759]: 0
B[760]: 0
B[761]: 0
B[762]: 0
B[763]: 0
B[764]: 0
B[765]: 0
B[766]: 0
B[767]: 0
B[768]: 0
B[769]: 0
B[770]: 0
B[771]: 0
B[772]: 0
B[773]: 0
B[774]: 0
B[775]: 0
B[776]: 0
B[777]: 0
B[778]: 0
B[779]: 0
B[780]: 0
B[781]: 0
B[782]: 0
B[783]: 0
B[784]: 0
B[785]: 0
B[786]: 0
B[787]: 0
B[788]: 0
B[789]: 0
B[790]: 0
B[791]: 0
B[792]: 0
B[793]: 0
B[794]: 0
B[795]: 0
B[796]: 0
B[797]: 0
B[798]: 0
B[799]: 0
B[800]: 0
B[801]: 0
B[802]: 0
B[803]: 0
B[804]: 0
B[805]: 0
B[806]: 0
B[807]: 0
B[808]: 0
B[809]: 0
B[810]: 0
B[811]: 0
B[812]: 0
B[813]: 0
B[814]: 0
B[815]: 0
B[816]: 0
B[817]: 0
B[818]: 0
B[819]: 0
B[820]: 0
B[821]: 0
B[822]: 0
B[823]: 0
B[824]: 0
B[825]: 0
B[826]: 0
B[827]: 0
B[828]: 0
B[829]: 0
B[830]: 0
B[831]: 0
B[832]: 0
B[833]: 0
B[834]: 0
B[835]: 0
B[836]: 0
B[837]: 0
B[838]: 0
B[839]: 0
B[840]: 0
B[841]: 0
B[842]: 0
B[843]: 0
B[844]: 0
B[845]: 0
B[846]: 0
B[847]: 0
B[848]: 0
B[849]: 0
B[850]: 0
B[851]: 0
B[852]: 0
B[853]: 0
B[854]: 0
B[855]: 0
B[856]: 0
B[857]: 0
B[858]: 0
B[859]: 0
B[860]: 0
B[861]: 0
B[862]: 0
B[863]: 0
B[864]: 0
B[865]: 0
B[866]: 0
B[867]: 0
B[868]: 0
B[869]: 0
B[870]: 0
B[871]: 0
B[872]: 0
B[873]: 0
B[874]: 0
B[875]: 0
B[876]: 0
B[877]: 0
B[878]: 0
B[879]: 0
B[880]: 0
B[881]: 0
B[882]: 0
B[883]: 0
B[884]: 0
B[885]: 0
B[886]: 0
B[887]: 0
B[888]: 0
B[889]: 0
B[890]: 0
B[891]: 0
B[892]: 0
B[893]: 0
B[894]: 0
B[895]: 0
B[896]: 0
B[897]: 0
B[898]: 0
B[899]: 0
B[900]: 0
B[901]: 0
B[902]: 0
B[903]: 0
B[904]: 0
B[905]: 0
B[906]: 0
B[907]: 0
B[908]: 0
B[909]: 0
B[910]: 0
B[911]: 0
B[912]: 0
B[913]: 0
B[914]: 0
B[915]: 0
B[916]: 0
B[917]: 0
B[918]: 0
B[919]: 0
B[920]: 0
B[921]: 0
B[922]: 0
B[923]: 0
B[924]: 0
B[925]: 0
B[926]: 0
B[927]: 0
B[928]: 0
B[929]: 0
B[930]: 0
B[931]: 0
B[932]: 0
B[933]: 0
B[934]: 0
B[935]: 0
B[936]: 0
B[937]: 0
B[938]: 0
B[939]: 0
B[940]: 0
B[941]: 0
B[942]: 0
B[943]: 0
B[944]: 0
B[945]: 0
B[946]: 0
B[947]: 0
B[948]: 0
B[949]: 0
B[950]: 0
B[951]: 0
B[952]: 0
B[953]: 0
B[954]: 0
B[955]: 0
B[956]: 0
B[957]: 0
B[958]: 0
B[959]: 0
B[960]: 0
B[961]: 0
B[962]: 0
B[963]: 0
B[964]: 0
B[965]: 0
B[966]: 0
B[967]: 0
B[968]: 0
B[969]: 0
B[970]: 0
B[971]: 0
B[972]: 0
B[973]: 0
B[974]: 0
B[975]: 0
B[976]: 0
B[977]: 0
B[978]: 0
B[979]: 0
B[980]: 0
B[981]: 0
B[982]: 0
B[983]: 0
B[984]: 0
B[985]: 0
B[986]: 0
B[987]: 0
B[988]: 0
B[989]: 0
B[990]: 0
B[991]: 0
B[992]: 0
B[993]: 0
B[994]: 0
B[995]: 0
B[996]: 0
B[997]: 0
B[998]: 0
B[999]: 0
